,order_id,customer_id,product_id,quantity,order_date,new_status,product_name,category,price,email,reg_date,new_name,first_name,last_name,valid_email,valid_phone,new_country
20,5021,5,113.0,1.0,2025-04-28,delivered,Cultural,Laptops,0.0,joneskaren@bennett.info,2024-10-31,James Grant ,James,Grant,True,79795843835,Russia
21,5022,19,105.0,1.0,2024-11-25,shipped,Source,Accessories,1983.69,kaitlyn59@riggs.com,2024-01-30,Eugene Henderson ,Eugene,Henderson,True,79404637389,Russia
22,5023,29,112.0,2.0,2024-11-25,delivered,Congress,Laptops,1624.54,nrichards@hotmail.com,2025-04-26,Nicholas Watson ,Nicholas,Watson,True,79436249832,Russia
23,5024,16,117.0,2.0,2025-07-08,canceled,Unknown product,Laptops,713.72,tracymyers@hester.net,2025-01-10,Matthew Ward ,Matthew,Ward,True,79576154882,Russia
24,5025,2,115.0,1.0,2024-12-05,shipped,Unknown product,Smartphones,930.31,anthonyhodge@yahoo.com,2025-03-02,Kimberly Gonzalez ,Kimberly,Gonzalez,True,79034259653,Russia
25,5026,4,120.0,1.0,2024-11-26,canceled,Stay,Other,1504.16,david53@gmail.com,2024-09-19,Mariah Griffith ,Mariah,Griffith,True,,Russia
26,5027,16,123.0,1.0,2024-10-11,canceled,Unknown product,Laptops,505.02,tracymyers@hester.net,2025-01-10,Matthew Ward ,Matthew,Ward,True,79576154882,Russia
28,5029,20,120.0,1.0,2025-08-07,pending,Stay,Other,1504.16,maria43@hotmail.com,2025-03-25,Rick Flores ,Rick,Flores,True,79865427638,Russia
29,5030,20,120.0,1.0,2025-02-19,shipped,Stay,Other,1504.16,maria43@hotmail.com,2025-03-25,Rick Flores ,Rick,Flores,True,79865427638,Russia
30,5031,10,124.0,3.0,2025-07-23,shipped,Unknown product,Smartphones,97.55,monica07@hotmail.com,2025-01-07,Todd Moore ,Todd,Moore,True,79293750665,Russia
31,5032,1,101.0,1.0,2025-03-16,shipped,Unknown product,Laptops,0.0,ashley67@gmail.com,2024-03-29,Kelly Sanders ,Kelly,Sanders,True,,Russia
32,5033,6,125.0,3.0,2025-02-01,canceled,Clear,Accessories,1245.62,ulewis@pacheco.net,2023-11-12,Gregory Baird ,Gregory,Baird,True,,Russia
33,5034,4,118.0,1.0,2025-07-02,shipped,Unknown product,Laptops,1431.54,david53@gmail.com,2024-09-19,Mariah Griffith ,Mariah,Griffith,True,,Russia
34,5035,19,114.0,1.0,2025-06-20,pending,Unknown product,Other,1024.22,kaitlyn59@riggs.com,2024-01-30,Eugene Henderson ,Eugene,Henderson,True,79404637389,Russia
35,5036,4,117.0,3.0,2025-06-13,shipped,Unknown product,Laptops,713.72,david53@gmail.com,2024-09-19,Mariah Griffith ,Mariah,Griffith,True,,Russia
36,5037,2,114.0,3.0,2024-10-03,canceled,Unknown product,Other,1024.22,anthonyhodge@yahoo.com,2025-03-02,Kimberly Gonzalez ,Kimberly,Gonzalez,True,79034259653,Russia
37,5038,5,110.0,1.0,2024-09-13,delivered,Can,Smartphones,1899.22,joneskaren@bennett.info,2024-10-31,James Grant ,James,Grant,True,79795843835,Russia
38,5039,26,118.0,3.0,2025-02-15,shipped,Unknown product,Laptops,1431.54,ososa@nelson-garcia.com,2025-06-28,Tara Miller ,Tara,Miller,True,79017671811,Russia
39,5040,14,114.0,1.0,2025-03-23,pending,Unknown product,Other,1024.22,ggoodwin@yahoo.com,2024-03-16,Ray Hansen ,Ray,Hansen,True,79509258538,Russia
40,5041,9,109.0,1.0,2025-04-27,delivered,Unknown product,Other,1713.74,thomas24@hotmail.com,2025-05-26,Jennifer Simmons ,Jennifer,Simmons,True,79502514879,Russia
42,5043,28,110.0,2.0,2025-05-07,shipped,Can,Smartphones,1899.22,dawn14@gmail.com,2024-12-13,Daniel Ayala ,Daniel,Ayala,True,79838177711,Russia
43,5044,27,102.0,1.0,2024-12-14,delivered,Then,Laptops,1358.09,richard22@yahoo.com,2025-06-24,Thomas Saunders ,Thomas,Saunders,True,,Russia
44,5045,20,124.0,1.0,2025-02-11,shipped,Unknown product,Smartphones,97.55,maria43@hotmail.com,2025-03-25,Rick Flores ,Rick,Flores,True,79865427638,Russia
45,5046,19,107.0,1.0,2025-05-04,canceled,Environmental,Other,729.6,kaitlyn59@riggs.com,2024-01-30,Eugene Henderson ,Eugene,Henderson,True,79404637389,Russia
46,5047,6,109.0,2.0,2024-11-07,shipped,Unknown product,Other,1713.74,ulewis@pacheco.net,2023-11-12,Gregory Baird ,Gregory,Baird,True,,Russia
47,5048,6,122.0,3.0,2025-04-16,delivered,Right,Other,0.0,ulewis@pacheco.net,2023-11-12,Gregory Baird ,Gregory,Baird,True,,Russia
48,5049,29,117.0,2.0,2025-06-19,shipped,Unknown product,Laptops,713.72,nrichards@hotmail.com,2025-04-26,Nicholas Watson ,Nicholas,Watson,True,79436249832,Russia
49,5050,7,104.0,3.0,2025-06-18,delivered,Cover,Laptops,85.82,fieldscynthia@hotmail.com,2024-08-05,Michael Harris ,Michael,Harris,True,79258309953,Russia
